Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
451,Washington Huskies,Seattle Washington,1896,2021,120,3040,1817,1223,.598,7.39,6.08,8,12,3,17,1,0
452,Washington State Cougars,Pullman Washington,1902,2021,120,3178,1623,1555,.511,3.00,4.84,3,2,0,6,1,0
453,Wayne State (MI) Warriors,Detroit Michigan,1928,1950,5,104,47,57,.452,,,0,0,0,0,0,0
454,Weber State Wildcats,Ogden Utah,1964,2021,58,1701,1067,634,.627,0.27,-2.65,1,22,10,16,0,0
455,Wesleyan (CT) Cardinals,Middletown Connecticut,1896,1913,13,171,97,74,.567,,,0,0,0,,,
456,West Chester Golden Rams,West Chester Pennsylvania,1899,1982,10,244,86,158,.352,-17.60,-8.15,0,1,0,0,0,0
457,West Texas A&M Buffaloes,Canyon Texas,1921,1986,54,1275,707,568,.555,-6.34,-1.65,0,4,0,1,0,0
458,West Virginia Mountaineers,Morgantown West Virginia,1904,2021,112,2926,1809,1117,.618,7.35,2.75,18,16,13,29,2,0
459,Western Carolina Catamounts,Cullowhee North Carolina,1977,2021,45,1321,580,741,.439,-8.48,-3.74,0,3,1,1,0,0
460,Western Colorado Mountaineers,Gunnison Colorado,1924,1937,14,189,88,101,.466,,,0,0,0,,,
461,Western Illinois Leathernecks,Macomb Illinois,1982,2021,40,1137,466,671,.410,-8.71,-3.70,0,2,1,0,0,0
462,Western Kentucky Hilltoppers,Bowling Green Kentucky,1922,2021,100,2769,1829,940,.661,3.36,-0.13,11,28,19,23,1,0
463,Western Michigan Broncos,Kalamazoo Michigan,1914,2021,108,2600,1352,1247,.520,-2.77,-0.11,1,10,2,4,0,0
464,Westminster (MO) Blue Jays,Fulton Missouri,1920,1920,1,17,17,0,1.000,,,0,0,0,,,
465,Westminster (PA) Titans,New Wilmington Pennsylvania,1898,1935,21,294,210,84,.714,,,0,0,0,,,
466,Wheaton (IL) Thunder,Wheaton Illinois,1902,1905,4,57,39,17,.696,,,0,0,0,,,
467,Whittier Poets,Whittier California,1909,1915,3,42,38,3,.927,,,0,0,0,,,
468,Wichita State Shockers,Wichita Kansas,1906,2021,114,2838,1623,1215,.572,6.12,3.34,8,11,4,15,2,0
469,Widener Pride,Chester Pennsylvania,1899,1909,5,26,20,6,.769,,,0,0,0,,,
470,William & Mary Tribe,Williamsburg Virginia,1906,2021,116,2683,1260,1423,.470,-5.47,-2.62,0,3,0,0,0,0
471,Williams Ephs,Williamstown Massachusetts,1901,1911,10,161,136,24,.850,,,0,0,0,,,
472,Winthrop Eagles,Rock Hill South Carolina,1987,2021,35,1050,580,470,.552,-7.25,-6.81,1,10,12,10,0,0
473,Wisconsin Badgers,Madison Wisconsin,1899,2021,123,2885,1651,1234,.572,8.76,7.81,17,19,3,24,4,1
474,Wisconsin-Stevens Point Pointers,Stevens Point Wisconsin,1898,1918,21,156,98,58,.628,,,0,0,0,,,
475,Wisconsin-Superior Yellowjackets,Superior Wisconsin,1900,1901,2,14,10,4,.714,,,0,0,0,,,
476,Wittenberg Tigers,Springfield Ohio,1931,1931,1,20,18,2,.900,,,0,0,0,,,
477,Wofford Terriers,Spartanburg South Carolina,1996,2021,26,795,401,394,.504,-4.97,-2.62,1,4,5,5,0,0
478,Wooster Fighting Scots,Wooster Ohio,1901,1931,31,390,225,165,.577,,,0,0,0,,,
